K02209	K02603
K02611	K15866
K01511	K01939
K00170	K00627
K00248	K00252
K00926	K09065
K02209	K06628
K01764	K01772
K00122	K00148
K00023	K00074
K01058	K07424
K00188	K11410
K00126	K01458
K11787	K13938
K00909	K04175
K00886	K01810
K01610	K01959
K02126	K11725
K04587	K04634
K02677	K07826
K04132	K04544
K00793	K14394
K08331	K08332
K04639	K05087
K05081	K11224
K00845	K01190
K00892	K03816
K14085	K17688
K00939	K13755
K00993	K16817
K01518	K08042
K07830	K17632
K13367	K13746
K06689	K09502
K04447	K04699
K00611	K13427
K01580	K03851
K00003	K02204
K00805	K02523
K04420	K05704
K00838	K11816
K05526	K14682
K01178	K15922
K00456	K09758
K00940	K03053
K04184	K05513
K01769	K03027
